power,d_power,time
1,1,6,019829
1,0,6,0609
1,0,6,097249
0,-1,6,117283
1,1,6,141551
1,0,6,185195
0,-1,6,204727
0,0,6,220702
1,1,6,239467
0,-1,6,261657
1,1,6,289063
0,-1,6,306625
0,0,6,333527
0,0,6,355918
1,1,6,378709
0,-1,6,39994
1,1,6,422759
0,-1,6,440467
0,0,6,461374
1,1,6,4835
0,-1,6,506185
0,0,6,522508
0,0,6,549533
0,0,6,572594
0,0,6,596878
1,1,6,611215
0,-1,6,634045
0,0,6,656818
0,0,6,677735
1,1,6,695812
0,-1,6,733023
1,1,6,751029
1,0,6,774667
2,1,6,811409
0,-2,6,829585
0,0,6,858119
1,1,6,894449
1,0,6,91281
1,0,6,939438
0,-1,6,955913
1,1,6,984221
1,0,7,000863
1,0,7,024473
1,0,7,034044
1,0,7,062823
1,0,7,088106
1,0,7,112973
1,0,7,140288
1,0,7,145624
4,3,7,168267
1,-3,7,195677
1,0,7,215101
2,1,7,231527
1,-1,7,258602
1,0,7,27584
1,0,7,302515
0,-1,7,331124
2,2,7,349207
1,-1,7,372113
1,0,7,386866
1,0,7,40566
1,0,7,428883
1,0,7,446182
0,-1,7,481212
0,0,7,501233
0,0,7,522418
0,0,7,557177
0,0,7,573534
1,1,7,60822
0,-1,7,631116
1,1,7,653334
0,-1,7,67705
0,0,7,699114
0,0,7,715142
1,1,7,739902
1,0,7,760254
0,-1,7,787299
2,2,7,821917
2,0,7,838188
1,-1,7,859206
1,0,7,89571
1,0,7,914171
1,0,7,936054
1,0,7,953821
0,-1,7,976552
0,0,7,998503
1,1,8,01705
1,0,8,047575
1,0,8,06521
1,0,8,081409
1,0,8,093225
1,0,8,116094
1,0,8,143476
0,-1,8,171631
0,0,8,203519
2,2,8,226682
1,-1,8,261979
1,0,8,280559
1,0,8,299158
1,0,8,313993
1,0,8,338085
0,-1,8,360252
0,0,8,395956
2,2,8,419482
1,-1,8,443888
0,-1,8,47709
1,1,8,49856
1,0,8,517054
1,0,8,533342
1,0,8,550052
1,0,8,56799
1,0,8,594109
1,0,8,616305
0,-1,8,640412
1,1,8,657615
1,0,8,692883
0,-1,8,711254
0,0,8,728889
0,0,8,763759
0,0,8,784097
0,0,8,821325
1,1,8,839561
1,0,8,861381
0,-1,8,886065
1,1,8,906966
1,0,8,931643
1,0,8,952145
0,-1,8,980676
1,1,9,002948
0,-1,9,024917
0,0,9,047624
0,0,9,070616
1,1,9,088933
2,1,9,105811
1,-1,9,13598
1,0,9,15403
1,0,9,171709
0,-1,9,199591
1,1,9,222136
2,1,9,242643
1,-1,9,270768
1,0,9,287717
1,0,9,304077
1,0,9,326772
1,0,9,343544
1,0,9,365193
1,0,9,387658
1,0,9,410622
1,0,9,432663
2,1,9,454932
1,-1,9,506475
1,0,9,509334
3,2,9,525942
1,-2,9,546911
1,0,9,571887
2,1,9,593902
1,-1,9,622202
1,0,9,638116
1,0,9,656062
1,0,9,688203
3,2,9,713312
1,-2,9,74163
1,0,9,762222
1,0,9,780113
1,0,9,796047
1,0,9,810435
1,0,9,819895
1,0,9,838425
1,0,9,854425
0,-1,9,889969
0,0,9,917432
1,1,9,938694
0,-1,9,969609
0,0,9,987253
0,0,10,00326
1,1,10,02092
1,0,10,04323
0,-1,10,06181
1,1,10,08442
3,2,10,11259
3,0,10,12293
2,-1,10,1454
1,-1,10,16845
1,0,10,19106
1,0,10,20742
2,1,10,23313
2,0,10,25497
1,-1,10,29136
3,2,10,31507
6,3,10,3444
2,-4,10,3697
4,2,10,39393
5,1,10,41329
5,0,10,44832
9,4,10,47269
3,-6,10,4925
6,3,10,51506
8,2,10,5429
12,4,10,57405
9,-3,10,62128
14,5,10,66653
13,-1,10,72904
25,12,10,81201
23,-2,10,92531
35,12,11,0406
44,9,11,21339
37,-7,11,31427
33,-4,11,409
35,2,11,57642
38,3,11,72743
29,-9,11,83717
28,-1,11,98545
32,4,12,12416
27,-5,12,21727
25,-2,12,30307
26,1,12,4499
30,4,12,60049
27,-3,12,67418
32,5,12,80626
27,-5,12,90856
29,2,12,9788
27,-2,13,11738
25,-2,13,18849
33,8,13,28144
25,-8,13,36031
25,0,13,43545
28,3,13,50872
24,-4,13,61315
23,-1,13,70546
26,3,13,79051
29,3,13,88479
25,-4,13,94569
26,1,14,01642
27,1,14,12705
26,-1,14,22017
32,6,14,31904
28,-4,14,41878
36,8,14,58462
48,12,14,79824
84,36,15,09073
65,-19,15,30154
73,8,15,55233
102,29,15,8409
118,16,16,13173
116,-2,16,44194
114,-2,16,75265
133,19,17,018
140,7,17,27925
132,-8,17,53378
137,5,17,82022
148,11,18,07942
142,-6,18,3429
135,-7,18,62984
140,5,18,88194
148,8,19,12559
130,-18,19,3703
138,8,19,65019
153,15,19,90156
153,0,20,13367
150,-3,20,39799
150,0,20,64464
169,19,20,86878
164,-5,21,0986
157,-7,21,3479
163,6,21,56705
173,10,21,78953
164,-9,22,02236
160,-4,22,26068
177,17,22,47667
177,0,22,70005
169,-8,22,91768
167,-2,23,14596
175,8,23,37217
166,-9,23,61109
158,-8,23,8419
148,-10,24,08601
154,6,24,33483
146,-8,24,59883
138,-8,24,87999
137,-1,25,1602
134,-3,25,44506
127,-7,25,75095
125,-2,26,06479
127,2,26,3628
116,-11,26,67429
115,-1,26,99024
114,-1,27,26855
111,-3,27,5645
113,2,27,89533
108,-5,28,18928
121,13,28,47439
118,-3,28,77993
109,-9,29,10264
110,1,29,37197
108,-2,29,62296
117,9,29,96001
107,-10,30,29424
104,-3,30,61253
111,7,30,92482
110,-1,31,25057
108,-2,31,59885
102,-6,31,94863
104,2,32,22072
127,23,32,51688
127,0,32,80031
127,0,33,06316
159,32,33,30635
158,-1,33,54683
151,-7,33,80156
163,12,34,03508
165,2,34,26846
157,-8,34,51813
150,-7,34,74888
170,20,34,97292
166,-4,35,20861
157,-9,35,45296
163,6,35,69262
173,10,35,90406
164,-9,36,14037
157,-7,36,3819
169,12,36,60799
166,-3,36,84294
158,-8,37,08754
158,0,37,3265
158,0,37,57125
151,-7,37,82496
142,-9,38,10098
135,-7,38,38556
124,-11,38,66999
121,-3,38,98777
110,-11,39,28429
99,-11,39,55986
102,3,39,90608
90,-12,40,23975
88,-2,40,5836
78,-10,40,909
80,2,41,24251
56,-24,41,49284
63,7,41,79238
59,-4,42,09404
59,0,42,39248
53,-6,42,65709
55,2,42,94891
43,-12,43,14676
45,2,43,32465
40,-5,43,51675
46,6,43,74752
39,-7,43,92738
39,0,44,06305
40,1,44,2504
37,-3,44,4057
